published_at,topic,hook,pillar,objective,permalink,reach,engagement_rate
2025-10-25 11:10,Mặc áo dài như thế nào để không bị kém sang,Mặc áo dài như thế nào để không bị kém sang #xuhuongfb #aodaivietnam,short_tip,awareness,https://www.facebook.com/122131079613074969/posts/122103336261074969,0,0.0
2025-10-24 11:34,Xem thêm outfit xinh: https://www.tiktok.com/@minhthushop2605 ?_t=ZS-90odQQGUBCZ&_r=1,Xem thêm outfit xinh: https://www,short_tip,engagement_ask,https://www.facebook.com/122131079613074969/posts/122103064575074969,0,0.0
2025-10-23 09:59,- Set 3: Áo dài gấm TÔ DIỆP vân hoa nổi cổ yếm cách điệu buộc phối cúc hoa kèm quần Satin AD197 với giá ₫279.000 - ₫339.,- Set 3: Áo dài gấm TÔ DIỆP vân hoa nổi cổ yếm cách điệu buộc phối cúc hoa kèm quần Satin AD197 với giá ₫279,outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122102796819074969,0,0.0
2025-10-22 13:35,"Cái nết quánh chết cái đẹp, outfit xinh thì thứ gì chịu nổi","Cái nết quánh chết cái đẹp, outfit xinh thì thứ gì chịu nổi #outfitxinh #tipslamdep",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122102572377074969,0,0.0
2025-10-21 14:25,Tết này không sắm 1 bộ thì hơi tiếc,Tết này không sắm 1 bộ thì hơi tiếc,outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122102285169074969,0,0.0
2025-10-21 09:46,,,outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122102181471074969,0,0.0
2025-10-21 09:46,,,outfit_guide,engagement_ask,https://www.facebook.com/reel/842990821763373/,0,0.0
2025-10-20 18:31,,,outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/4228622634092884?substory_index=4228622634092884,0,0.0
2025-10-20 13:59,“Thu đông mà không thử outfit này đảm bảo hối hận cả đời”,“Thu đông mà không thử outfit này đảm bảo hối hận cả đời”,outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122101489395074969,0,0.0
2025-10-20 12:51,,,outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122101447011074969?substory_index=2061503857954435,0,0.0
2026-06-02,Mix & Match 3 Local Brand Trong 1 Outfit,Bạn đã bao giờ mix 3 thương hiệu khác nhau trong cùng một set đồ chưa?,outfit_guide,engagement,https://facebook.com/883890888134656/posts/122131109811074969,0,0.0
2026-06-02,Mẹo Chọn Size Chuẩn Khi Mua Local Brand,Bạn có bao giờ mua đồ local brand xong về không vừa không?,short_tip,awareness,https://facebook.com/883890888134656/posts/122131109823074969,0,0.0
